year,state,winner,party,winVotes,totalVotes,runnerUp,ruParty,ruVotes,rawMargin,decMargin
2016,Mississippi,"Trump, Donald J.",republican,700714,1209357,"Clinton, Hillary",democrat,485131,215583,0.17826249817051543
2016,Mississippi,"Trump, Donald J.",republican,700714,1209357,"Clinton, Hillary",democrat,485131,215583,0.17826249817051543
2000,Missouri,"Bush, George W.",republican,1189924,2359892,"Gore, Al",democrat,1111138,78786,0.033385426112720384
2000,Missouri,"Bush, George W.",republican,1189924,2359892,"Gore, Al",democrat,1111138,78786,0.033385426112720384
2004,Missouri,"Bush, George W.",republican,1455713,2731364,"Kerry, John",democrat,1259171,196542,0.0719574542243363
2004,Missouri,"Bush, George W.",republican,1455713,2731364,"Kerry, John",democrat,1259171,196542,0.0719574542243363
2008,Missouri,"McCain, John",republican,1445814,2925205,"Obama, Barack H.",democrat,1441911,3903,0.001334265461736872
2008,Missouri,"McCain, John",republican,1445814,2925205,"Obama, Barack H.",democrat,1441911,3903,0.001334265461736872
2012,Missouri,"Romney, Mitt",republican,1482440,2757323,"Obama, Barack H.",democrat,1223796,258644,0.09380257590423757
2012,Missouri,"Romney, Mitt",republican,1482440,2757323,"Obama, Barack H.",democrat,1223796,258644,0.09380257590423757
2016,Missouri,"Trump, Donald J.",republican,1594511,2808605,"Clinton, Hillary",democrat,1071068,523443,0.1863711700292494
2016,Missouri,"Trump, Donald J.",republican,1594511,2808605,"Clinton, Hillary",democrat,1071068,523443,0.1863711700292494
2000,Montana,"Bush, George W.",republican,240178,410986,"Gore, Al",democrat,137126,103052,0.25074333432282364
2000,Montana,"Bush, George W.",republican,240178,410986,"Gore, Al",democrat,137126,103052,0.25074333432282364
2004,Montana,"Bush, George W.",republican,266063,450434,"Kerry, John",democrat,173710,92353,0.20503114773751535
2004,Montana,"Bush, George W.",republican,266063,450434,"Kerry, John",democrat,173710,92353,0.20503114773751535
2008,Montana,"McCain, John",republican,242763,490109,"Obama, Barack H.",democrat,231667,11096,0.0226398617450404
2008,Montana,"McCain, John",republican,242763,490109,"Obama, Barack H.",democrat,231667,11096,0.0226398617450404
2012,Montana,"Romney, Mitt",republican,267928,484048,"Obama, Barack H.",democrat,201839,66089,0.13653398010114698
2012,Montana,"Romney, Mitt",republican,267928,484048,"Obama, Barack H.",democrat,201839,66089,0.13653398010114698
2016,Montana,"Trump, Donald J.",republican,279240,494526,"Clinton, Hillary",democrat,177709,101531,0.2053097309342684
2016,Montana,"Trump, Donald J.",republican,279240,494526,"Clinton, Hillary",democrat,177709,101531,0.2053097309342684
2000,Nebraska,"Bush, George W.",republican,433862,697019,"Gore, Al",democrat,231780,202082,0.2899232302132366
2000,Nebraska,"Bush, George W.",republican,433862,697019,"Gore, Al",democrat,231780,202082,0.2899232302132366
2004,Nebraska,"Bush, George W.",republican,512814,778186,"Kerry, John",democrat,254328,258486,0.3321648037872693
